GF.ITS.VL31	GF.ITS.VL32	GF.ITS.VL33	GF.ITS.VL34	GF.ITS.VL35	GF.ITS.VL36	GF.ITS.VL37	GF.ITS.VL38	GF.ITS.VL39	GF.ITS.VL40	GF.ITS.VL41	GF.ITS.VL42	GF.ITS.VL43	GF.ITS.VL44	GF.ITS.VL45	GF.ITS.VL46	GF.ITS.VL47	GF.ITS.VL48	GF.ITS.VL49	GF.ITS.VL50	GF.ITS.VL51	GF.ITS.VL52	GF.ITS.VL53	GF.ITS.VL54	GF.ITS.VL56	GF.ITS.VL57	GF.ITS.VL58	GF.ITS.VL59	GF.ITS.VL60
g__Neocucurbitaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0
g__Podosphaera	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Erysiphe	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Hypocreales_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Tricharina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109090909090909	0	0	0	0	0	0	0	0	0	0
c__Sordariomycetes_1	0	0	0	0	0	0	0.002	0.000909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pleosporaceae_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00590909090909091	0	0	0	0	0	0	0	0	0	0
g__Acremonium_5	0	0	0	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0
o__Cystobasidiomycetes_ord_Incertae_sedis	0	0	0	0.00136363636363636	0	0	0	0.000727272727272727	0.00109090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0
s__Malassezia_globosa_5	0	0	0	0	0	0.000363636363636364	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	9.09090909090909e-05	0	0	0	0
p__Ascomycota_6	0.00172727272727273	0	0	0	0	0.00145454545454545	0	0	0	0	0	0	0.00118181818181818	0	0	0	0.00109090909090909	0.00118181818181818	0	0.00109090909090909	0	0	0	0	0	0	0	0	0
g__Mycena	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sporobolomyces_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0
g__Wallemia	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Agaricomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123636363636364	0	0	0	0	0	0
o__Pleosporales_13	0	0	0	0.00145454545454545	0.000727272727272727	0	0	9.09090909090909e-05	0.000545454545454545	0.000909090909090909	0.000454545454545455	0	0.000272727272727273	0.000363636363636364	0	0	0.000181818181818182	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0
o__Hypocreales_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00163636363636364	0	0.00154545454545455	0	0	0	0	0
o__Pleosporales_14	0	0	0	0	0	0	0	0	0.00163636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cladosporium_1	0.013	0.0114545454545455	0.0138181818181818	0.0113636363636364	0	0.0119090909090909	0.0196363636363636	0.0110909090909091	0.007	0	0	0	0	0	0.00636363636363636	0.0177272727272727	0.0100909090909091	0.00445454545454545	0.0227272727272727	0	0.012	0.0151818181818182	0	0.0128181818181818	0	0	0.00481818181818182	0	0
o__Tremellales_4	0	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0
s__Merismodes_granulosa_2	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_9	0	0	0.000727272727272727	0	0	0.00236363636363636	0	0	0	0	0	0.00109090909090909	0	0	0	0	0	0.000363636363636364	0	0	0.000727272727272727	0	0	0.000636363636363636	0	0	0	0	0
g__Papiliotrema_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136363636363636	0	0	0	0	0	0	0	0	0	0
o__Xylariales_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000545454545454545
f__Kondoaceae_1	0	0	0.00209090909090909	0	0	0.000363636363636364	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0.000363636363636364	0	0	0	0	0	0
o__Hypocreales_3	0	0.000727272727272727	0	0.0201818181818182	0.000636363636363636	0.00563636363636364	0.0108181818181818	0.0147272727272727	0.00481818181818182	0	0	0.454272727272727	0	0	0	0.00145454545454545	0	0.000363636363636364	0.000181818181818182	0	0	0.326545454545455	0.0271818181818182	0.294818181818182	0.00136363636363636	0	0	0	0
g__Kondoa_4	0	0	0	0.00554545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Candida_cretensis_7	0	0.000545454545454545	0	0.00281818181818182	0.000545454545454545	0.00127272727272727	0.00290909090909091	0.00809090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Abrothallus	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota_11	0.00427272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Leptospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0
o__Pleosporales_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05
g__Dioszegia_1	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Merismodes_granulosa_3	0	0	0	0	0	0	0	0	0.00581818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.0103636363636364
f__Filobasidiaceae	0	0	0	0	0	0	0	0.00418181818181818	0.00227272727272727	0.00527272727272727	0	0	0.00209090909090909	0	0	0	0	0.00363636363636364	0	0.00390909090909091	0	0	0	0	0	0	0	0	0
